archetype_id,path,rm_type,aom_type,node_id,name_nb,name_en
openEHR-EHR-CLUSTER.exam_cervix_v0_1.v0,/,CLUSTER,CComplexObject,at0000,Undersøkelse av cervix,Examination of cervix
openEHR-EHR-CLUSTER.exam_cervix_v0_1.v0,/items[at0002],ELEMENT,CComplexObject,at0002,Uten anmerkning,No abnormality detected
openEHR-EHR-CLUSTER.exam_cervix_v0_1.v0,/items[at0002]/value,DV_BOOLEAN,CComplexObject
openEHR-EHR-CLUSTER.exam_cervix_v0_1.v0,/items[at0002]/value/value,Boolean,CPrimitiveObject
openEHR-EHR-CLUSTER.exam_cervix_v0_1.v0,/items[at0003],ELEMENT,CComplexObject,at0003,Klinisk beskrivelse,Clinical description
openEHR-EHR-CLUSTER.exam_cervix_v0_1.v0,/items[at0003]/value,DV_TEXT,CComplexObject
openEHR-EHR-CLUSTER.exam_cervix_v0_1.v0,/items[at0004],CLUSTER,ArchetypeSlot,at0004,Funn ved undersøkelse,Examination findings
openEHR-EHR-CLUSTER.exam_cervix_v0_1.v0,/items[at0006],ELEMENT,CComplexObject,at0006,Klinisk tolkning,Clinical interpretation
openEHR-EHR-CLUSTER.exam_cervix_v0_1.v0,/items[at0006]/value,DV_TEXT,CComplexObject
openEHR-EHR-CLUSTER.exam_cervix_v0_1.v0,/items[at0007],ELEMENT,CComplexObject,at0007,Kommentar,Comment
openEHR-EHR-CLUSTER.exam_cervix_v0_1.v0,/items[at0007]/value,DV_TEXT,CComplexObject
openEHR-EHR-CLUSTER.exam_cervix_v0_1.v0,/items[at0008],CLUSTER,ArchetypeSlot,at0008,Undersøkelse ikke utført,Exam not done
