archetype_id,path,rm_type,aom_type,node_id,name_de,name_nb,name_en
openEHR-EHR-CLUSTER.genomic_deletion_insertion_variant.v1,/,CLUSTER,CComplexObject,at0000,Genomic deletion-insertion variant,Genetisk variant - delesjon-insersjon,Genomic deletion-insertion variant
openEHR-EHR-CLUSTER.genomic_deletion_insertion_variant.v1,/items[at0001],ELEMENT,CComplexObject,at0001,Start position,Startposisjon,Start position
openEHR-EHR-CLUSTER.genomic_deletion_insertion_variant.v1,/items[at0001]/value,DV_COUNT,CComplexObject
openEHR-EHR-CLUSTER.genomic_deletion_insertion_variant.v1,/items[at0003],ELEMENT,CComplexObject,at0003,End position,Sluttposisjon,End position
openEHR-EHR-CLUSTER.genomic_deletion_insertion_variant.v1,/items[at0003]/value,DV_COUNT,CComplexObject
openEHR-EHR-CLUSTER.genomic_deletion_insertion_variant.v1,/items[at0005],ELEMENT,CComplexObject,at0005,Deleted sequence,Slettet sekvens,Deleted sequence
openEHR-EHR-CLUSTER.genomic_deletion_insertion_variant.v1,/items[at0005]/value,DV_TEXT,CComplexObject
openEHR-EHR-CLUSTER.genomic_deletion_insertion_variant.v1,/items[at0007],ELEMENT,CComplexObject,at0007,Inserted sequence,Innsatte sekvens,Inserted sequence
openEHR-EHR-CLUSTER.genomic_deletion_insertion_variant.v1,/items[at0007]/value,DV_TEXT,CComplexObject
openEHR-EHR-CLUSTER.genomic_deletion_insertion_variant.v1,/items[at0008],CLUSTER,ArchetypeSlot,at0008,Reference sequence,Referansesekvens,Reference sequence
