archetype_id,path,rm_type,aom_type,node_id,name_en,name_ar-sy
openEHR-EHR-CLUSTER.health_event.v0,/,CLUSTER,CComplexObject,at0000,Health event,واقعة صحية
openEHR-EHR-CLUSTER.health_event.v0,/items[at0001],ELEMENT,CComplexObject,at0001,Event name,*Event name(en)
openEHR-EHR-CLUSTER.health_event.v0,/items[at0001]/value,DV_TEXT,CComplexObject
openEHR-EHR-CLUSTER.health_event.v0,/items[at0002],ELEMENT,CComplexObject,at0002,Witness,*Witness(en)
openEHR-EHR-CLUSTER.health_event.v0,/items[at0002]/value,DV_TEXT,CComplexObject
openEHR-EHR-CLUSTER.health_event.v0,/items[at0007],ELEMENT,CComplexObject,at0007,Circumstances,*Circumstances(en)
openEHR-EHR-CLUSTER.health_event.v0,/items[at0007]/value,DV_TEXT,CComplexObject
openEHR-EHR-CLUSTER.health_event.v0,/items[at0009],ELEMENT,CComplexObject,at0009,Description,*Description(en)
openEHR-EHR-CLUSTER.health_event.v0,/items[at0009]/value,DV_TEXT,CComplexObject
openEHR-EHR-CLUSTER.health_event.v0,/items[at0011],ELEMENT,CComplexObject,at0011,Time elapsed,*Time elapsed(en)
openEHR-EHR-CLUSTER.health_event.v0,/items[at0011]/value,DV_DURATION,CComplexObject
openEHR-EHR-CLUSTER.health_event.v0,/items[at0014],ELEMENT,CComplexObject,at0014,Contributing factor,*Contributing factor(en)
openEHR-EHR-CLUSTER.health_event.v0,/items[at0014]/value,DV_TEXT,CComplexObject
openEHR-EHR-CLUSTER.health_event.v0,/items[at0016],CLUSTER,ArchetypeSlot,at0016,Preceding symptoms and events,*Preceding symptoms and events(en)
openEHR-EHR-CLUSTER.health_event.v0,/items[at0017],CLUSTER,ArchetypeSlot,at0017,Associated symptoms and events,*Associated symptoms and events(en)
