archetype_id,path,rm_type,aom_type,node_id,name_de,name_ru,name_sv,name_es-ar,name_nb,name_pt-br,name_ar-sy,name_sl,name_en,name_zh-cn,name_ca,name_es
openEHR-EHR-ACTION.medication.v1,/,ACTION,CComplexObject,at0000,Arzneimittelanwendung,*Medication management(en),Hantering av läkemedelsregim,*Medication management(en),Legemiddelhåndtering,Gestão de medicação,*Medication management(en),*Medication management(en),Medication management,药物管理,Gestió de la medicació,Gestión de la medicación
openEHR-EHR-ACTION.medication.v1,/description[at0017],ITEM_TREE,CComplexObject,at0017,Tree,*Tree(en),Tree,*Tree(en),Tree,Tree,*Tree(en),Tree,Tree,Tree,Tree,Tree
openEHR-EHR-ACTION.medication.v1,/description[at0017]/items[at0020],ELEMENT,CComplexObject,at0020,Arzneimittel,*Medication item(en),Läkemedelsartikel,*Medication item(en),Legemiddel,Item de medicação,*Medication item(en),*Medication item(en),Medication item,用药项,Medicament,Medicamento
openEHR-EHR-ACTION.medication.v1,/description[at0017]/items[at0020]/value,DV_TEXT,CComplexObject
openEHR-EHR-ACTION.medication.v1,/description[at0017]/items[at0021],ELEMENT,CComplexObject,at0021,Begründung,*Reason(en),Orsak,*Reason(en),Årsak,Motivo,*Reason(en),*Reason(en),Reason,原因,Motiu,Motivo
openEHR-EHR-ACTION.medication.v1,/description[at0017]/items[at0021]/value,DV_TEXT,CComplexObject
openEHR-EHR-ACTION.medication.v1,/description[at0017]/items[at0024],ELEMENT,CComplexObject,at0024,Kommentar,*Comment(en),Kommentar,*Comment(en),Kommentar,Comentário,*Comment(en),*Comment(en),Comment,备注,Comentaris,Comentarios
openEHR-EHR-ACTION.medication.v1,/description[at0017]/items[at0024]/value,DV_TEXT,CComplexObject
openEHR-EHR-ACTION.medication.v1,/description[at0017]/items[at0025],ELEMENT,CComplexObject,at0025,Sequenznummer,*Sequence number(en),Sekvensnummer,*Sequence number(en),Sekvensnummer,Número sequencial,*Sequence number(en),*Sequence number(en),Sequence number,顺序编号,Seqüència numèrica,Secuencia numérica
openEHR-EHR-ACTION.medication.v1,/description[at0017]/items[at0025]/value,DV_COUNT,CComplexObject
openEHR-EHR-ACTION.medication.v1,/description[at0017]/items[at0033],ELEMENT,CComplexObject,at0033,Patientenanweisung,*Patient guidance(en),Patientvägledning,*Patient guidance(en),Pasientinstruksjoner,Orientação ao paciente,*Patient guidance(en),*Patient guidance(en),Patient guidance,患者指导,Orientació al pacient,Orientación al paciente
openEHR-EHR-ACTION.medication.v1,/description[at0017]/items[at0033]/value,DV_TEXT,CComplexObject
openEHR-EHR-ACTION.medication.v1,/description[at0017]/items[at0043],ELEMENT,CComplexObject,at0043,Ursprünglich geplantes Datum/Uhrzeit,*Original scheduled date/time(en),Ursprungligt datum/tid,*Original scheduled date/time(en),Opprinnelig planlagt tid,Data/hora original do agendamento,*Original scheduled date/time(en),*Original scheduled date/time(en),Original scheduled date/time,原始排程/安排的日期/时间,Data/hora programada original,Fecha/hora programada original
