archetype_id,path,rm_type,aom_type,node_id,name_de,name_ru,name_nb,name_pt-br,name_sl,name_en,name_ar-sy,name_es
openEHR-EHR-ACTION.procedure.v1,/,ACTION,CComplexObject,at0000,Prozedur,*Procedure(en),Prosedyre,Procedimento,*Procedure(en),Procedure,*Procedure(en),Procedimiento
openEHR-EHR-ACTION.procedure.v1,/description[at0001],ITEM_TREE,CComplexObject,at0001,Tree,*Tree(en),Tree,Tree,*Tree(en),Tree,Tree,Tree
openEHR-EHR-ACTION.procedure.v1,/description[at0001]/items[at0002],ELEMENT,CComplexObject,at0002,Name der Prozedur,*Procedure name(en),Prosedyrenavn,Nome do procedimento,*Procedure name(en),Procedure name,*Procedure name(en),Nombre del procedimiento
openEHR-EHR-ACTION.procedure.v1,/description[at0001]/items[at0002]/value,DV_TEXT,CComplexObject
openEHR-EHR-ACTION.procedure.v1,/description[at0001]/items[at0003],CLUSTER,ArchetypeSlot,at0003,Details zur Prozedur,*Procedure detail(en),Prosedyredetaljer,Detalhes do Procedimento,*Procedure detail(en),Procedure detail,*Procedure detail(en),Detalles
openEHR-EHR-ACTION.procedure.v1,/description[at0001]/items[at0005],ELEMENT,CComplexObject,at0005,Kommentar,*Comment(en),Kommentar,Comentários,*Comment(en),Comment,*Comment(en),Comentario
openEHR-EHR-ACTION.procedure.v1,/description[at0001]/items[at0005]/value,DV_TEXT,CComplexObject
openEHR-EHR-ACTION.procedure.v1,/description[at0001]/items[at0006],ELEMENT,CComplexObject,at0006,Komplikationen,*Complication(en),Komplikasjon,Complicações,*Complication(en),Complication,*Complication(en),Complicación
openEHR-EHR-ACTION.procedure.v1,/description[at0001]/items[at0006]/value,DV_TEXT,CComplexObject
openEHR-EHR-ACTION.procedure.v1,/description[at0001]/items[at0014],ELEMENT,CComplexObject,at0014,Grund,*Reason(en),Begrunnelse,Justificativa,*Reason(en),Reason,*Reason(en),Motivo
openEHR-EHR-ACTION.procedure.v1,/description[at0001]/items[at0014]/value,DV_TEXT,CComplexObject
openEHR-EHR-ACTION.procedure.v1,/description[at0001]/items[at0048],ELEMENT,CComplexObject,at0048,Ausgang,*Outcome(en),Resultat,Resultado,*Outcome(en),Outcome,*Outcome(en),Resultado
openEHR-EHR-ACTION.procedure.v1,/description[at0001]/items[at0048]/value,DV_TEXT,CComplexObject
openEHR-EHR-ACTION.procedure.v1,/description[at0001]/items[at0049],ELEMENT,CComplexObject,at0049,Beschreibung,*Description(en),Beskrivelse,Descrição,*Description(en),Description,*Description(en),Descripción
openEHR-EHR-ACTION.procedure.v1,/description[at0001]/items[at0049]/value,DV_TEXT,CComplexObject
