archetype_id,path,rm_type,aom_type,node_id,name_en
openEHR-EHR-EVALUATION.device_summary.v0,/,EVALUATION,CComplexObject,at0000,Device summary
openEHR-EHR-EVALUATION.device_summary.v0,/data[at0001],ITEM_TREE,CComplexObject,at0001,Tree
openEHR-EHR-EVALUATION.device_summary.v0,/data[at0001]/items[at0002],ELEMENT,CComplexObject,at0002,Status
openEHR-EHR-EVALUATION.device_summary.v0,/data[at0001]/items[at0002]/value,DV_CODED_TEXT,CComplexObject
openEHR-EHR-EVALUATION.device_summary.v0,/data[at0001]/items[at0002]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-EVALUATION.device_summary.v0,/data[at0001]/items[at0015],ELEMENT,CComplexObject,at0015,Description
openEHR-EHR-EVALUATION.device_summary.v0,/data[at0001]/items[at0015]/value,DV_TEXT,CComplexObject
openEHR-EHR-EVALUATION.device_summary.v0,/data[at0001]/items[at0020],ELEMENT,CComplexObject,at0020,Device type
openEHR-EHR-EVALUATION.device_summary.v0,/data[at0001]/items[at0020]/value,DV_TEXT,CComplexObject
openEHR-EHR-EVALUATION.device_summary.v0,/data[at0001]/items[at0022],CLUSTER,CComplexObject,at0022,Device details
openEHR-EHR-EVALUATION.device_summary.v0,/data[at0001]/items[at0022]/items[at0007],ELEMENT,CComplexObject,at0007,Device name
openEHR-EHR-EVALUATION.device_summary.v0,/data[at0001]/items[at0022]/items[at0007]/value,DV_TEXT,CComplexObject
openEHR-EHR-EVALUATION.device_summary.v0,/data[at0001]/items[at0022]/items[at0008],ELEMENT,CComplexObject,at0008,Start date
openEHR-EHR-EVALUATION.device_summary.v0,/data[at0001]/items[at0022]/items[at0008]/value,DV_DATE_TIME,CComplexObject
openEHR-EHR-EVALUATION.device_summary.v0,/data[at0001]/items[at0022]/items[at0009],ELEMENT,CComplexObject,at0009,End date
openEHR-EHR-EVALUATION.device_summary.v0,/data[at0001]/items[at0022]/items[at0009]/value,DV_DATE_TIME,CComplexObject
openEHR-EHR-EVALUATION.device_summary.v0,/data[at0001]/items[at0022]/items[at0010],CLUSTER,ArchetypeSlot,at0010,Structured detail
openEHR-EHR-EVALUATION.device_summary.v0,/data[at0001]/items[at0022]/items[at0012],ELEMENT,CComplexObject,at0012,Body site
openEHR-EHR-EVALUATION.device_summary.v0,/data[at0001]/items[at0022]/items[at0012]/value,DV_TEXT,CComplexObject
openEHR-EHR-EVALUATION.device_summary.v0,/data[at0001]/items[at0022]/items[at0013],CLUSTER,ArchetypeSlot,at0013,Structured body site
openEHR-EHR-EVALUATION.device_summary.v0,/data[at0001]/items[at0022]/items[at0014],ELEMENT,CComplexObject,at0014,Description
openEHR-EHR-EVALUATION.device_summary.v0,/data[at0001]/items[at0022]/items[at0014]/value,DV_TEXT,CComplexObject
openEHR-EHR-EVALUATION.device_summary.v0,/data[at0001]/items[at0022]/items[at0019],ELEMENT,CComplexObject,at0019,Next review due
openEHR-EHR-EVALUATION.device_summary.v0,/data[at0001]/items[at0022]/items[at0019]/value,DV_DATE_TIME,CComplexObject
openEHR-EHR-EVALUATION.device_summary.v0,/data[at0001]/items[at0022]/items[at0021],CLUSTER,ArchetypeSlot,at0021,Multimedia
openEHR-EHR-EVALUATION.device_summary.v0,/data[at0001]/items[at0022]/items[at0023],ELEMENT,CComplexObject,at0023,URI to original data
openEHR-EHR-EVALUATION.device_summary.v0,/data[at0001]/items[at0022]/items[at0023]/value,DV_URI,CComplexObject
openEHR-EHR-EVALUATION.device_summary.v0,/protocol[at0016],ITEM_TREE,CComplexObject,at0016,Tree
openEHR-EHR-EVALUATION.device_summary.v0,/protocol[at0016]/items[at0017],ELEMENT,CComplexObject,at0017,Last updated
openEHR-EHR-EVALUATION.device_summary.v0,/protocol[at0016]/items[at0017]/value,DV_DATE_TIME,CComplexObject
openEHR-EHR-EVALUATION.device_summary.v0,/protocol[at0016]/items[at0018],CLUSTER,ArchetypeSlot,at0018,Extension
