archetype_id,path,rm_type,aom_type,node_id,name_nb,name_en
openEHR-EHR-EVALUATION.last_menstrual_period.v1,/,EVALUATION,CComplexObject,at0000,Siste menstruasjonsperiode,Last menstrual period
openEHR-EHR-EVALUATION.last_menstrual_period.v1,/data[at0001],ITEM_TREE,CComplexObject,at0001,Item tree,Item tree
openEHR-EHR-EVALUATION.last_menstrual_period.v1,/data[at0001]/items[at0002],ELEMENT,CComplexObject,at0002,Startdato,Date of onset (LMP)
openEHR-EHR-EVALUATION.last_menstrual_period.v1,/data[at0001]/items[at0002]/value,DV_DATE,CComplexObject
openEHR-EHR-EVALUATION.last_menstrual_period.v1,/data[at0001]/items[at0007],ELEMENT,CComplexObject,at0007,Beskrivelse av siste normale menstruasjonsperiode.,Description
openEHR-EHR-EVALUATION.last_menstrual_period.v1,/data[at0001]/items[at0007]/value,DV_TEXT,CComplexObject
openEHR-EHR-EVALUATION.last_menstrual_period.v1,/data[at0001]/items[at0008],ELEMENT,CComplexObject,at0008,Kommentar,Comment
openEHR-EHR-EVALUATION.last_menstrual_period.v1,/data[at0001]/items[at0008]/value,DV_TEXT,CComplexObject
openEHR-EHR-EVALUATION.last_menstrual_period.v1,/data[at0001]/items[at0009],ELEMENT,CComplexObject,at0009,Sikkerhet,Certainty
openEHR-EHR-EVALUATION.last_menstrual_period.v1,/data[at0001]/items[at0009]/value,DV_CODED_TEXT,CComplexObject
openEHR-EHR-EVALUATION.last_menstrual_period.v1,/protocol[at0003],ITEM_TREE,CComplexObject,at0003,Item tree,Item tree
openEHR-EHR-EVALUATION.last_menstrual_period.v1,/protocol[at0003]/items[at0004],ELEMENT,CComplexObject,at0004,Sist oppdatert,Last updated
openEHR-EHR-EVALUATION.last_menstrual_period.v1,/protocol[at0003]/items[at0004]/value,DV_DATE_TIME,CComplexObject
openEHR-EHR-EVALUATION.last_menstrual_period.v1,/protocol[at0003]/items[at0006],CLUSTER,ArchetypeSlot,at0006,Tilleggsinformasjon,Extension
