archetype_id,path,rm_type,aom_type,node_id,name_de,name_nb,name_en,name_it
openEHR-EHR-EVALUATION.living_arrangement.v0,/,EVALUATION,CComplexObject,at0000,Wohnsituation,Borarrangement,Living arrangement,Disposizione abitativa
openEHR-EHR-EVALUATION.living_arrangement.v0,/data[at0001],ITEM_TREE,CComplexObject,at0001,Item tree,Item tree,Item tree,Item tree
openEHR-EHR-EVALUATION.living_arrangement.v0,/data[at0001]/items[at0003],ELEMENT,CComplexObject,at0003,Beschreibung,Beskrivelse,Description,Descrizione
openEHR-EHR-EVALUATION.living_arrangement.v0,/data[at0001]/items[at0003]/value,DV_TEXT,CComplexObject
openEHR-EHR-EVALUATION.living_arrangement.v0,/data[at0001]/items[at0004],ELEMENT,CComplexObject,at0004,Wohnsituation,Boarrangement,Living arrangement,Disposizione abitativa
openEHR-EHR-EVALUATION.living_arrangement.v0,/data[at0001]/items[at0004]/value,DV_TEXT,CComplexObject
openEHR-EHR-EVALUATION.living_arrangement.v0,/data[at0001]/items[at0005],ELEMENT,CComplexObject,at0005,*Household type (en),Husholdningstype,Household type,*Household type (en)
openEHR-EHR-EVALUATION.living_arrangement.v0,/data[at0001]/items[at0005]/value,DV_TEXT,CComplexObject
openEHR-EHR-EVALUATION.living_arrangement.v0,/data[at0001]/items[at0006],ELEMENT,CComplexObject,at0006,Beschreibung des Haushalts,Beskrivelse av husholdningen,Household description,Descrizione della casa
openEHR-EHR-EVALUATION.living_arrangement.v0,/data[at0001]/items[at0006]/value,DV_TEXT,CComplexObject
openEHR-EHR-EVALUATION.living_arrangement.v0,/data[at0001]/items[at0007],ELEMENT,CComplexObject,at0007,Anzahl der Haushaltsmitglieder,Antall medlemmer av husholdningen,Number of household members,Numero di componenti della famiglia
openEHR-EHR-EVALUATION.living_arrangement.v0,/data[at0001]/items[at0007]/value,DV_COUNT,CComplexObject
openEHR-EHR-EVALUATION.living_arrangement.v0,/data[at0001]/items[at0008],CLUSTER,ArchetypeSlot,at0008,Ergänzende Details,Ytterligere detaljer,Additional details,Dettagli aggiuntivi
openEHR-EHR-EVALUATION.living_arrangement.v0,/data[at0001]/items[at0010],ELEMENT,CComplexObject,at0010,Kommentar,Kommentar,Comment,Commento
openEHR-EHR-EVALUATION.living_arrangement.v0,/data[at0001]/items[at0010]/value,DV_TEXT,CComplexObject
openEHR-EHR-EVALUATION.living_arrangement.v0,/data[at0001]/items[at0013],CLUSTER,ArchetypeSlot,at0013,*Houshold members (en),Husholdningsmedlemmer,Houshold members,*Houshold members (en)
openEHR-EHR-EVALUATION.living_arrangement.v0,/protocol[at0002],ITEM_TREE,CComplexObject,at0002,Item tree,Item tree,Item tree,Item tree
openEHR-EHR-EVALUATION.living_arrangement.v0,/protocol[at0002]/items[at0011],CLUSTER,ArchetypeSlot,at0011,Erweiterung,Tilleggsinformasjon,Extension,Extension
openEHR-EHR-EVALUATION.living_arrangement.v0,/protocol[at0002]/items[at0012],ELEMENT,CComplexObject,at0012,Zuletzt aktualisiert,Sist oppdatert,Last updated,Ultimo aggiornamento
openEHR-EHR-EVALUATION.living_arrangement.v0,/protocol[at0002]/items[at0012]/value,DV_DATE_TIME,CComplexObject
