archetype_id,path,rm_type,aom_type,node_id,name_nb,name_en
openEHR-EHR-EVALUATION.occupation_summary.v1,/,EVALUATION,CComplexObject,at0000,Arbeidssammendrag,Occupation summary
openEHR-EHR-EVALUATION.occupation_summary.v1,/data[at0001],ITEM_TREE,CComplexObject,at0001,Tree,Tree
openEHR-EHR-EVALUATION.occupation_summary.v1,/data[at0001]/items[at0002],ELEMENT,CComplexObject,at0002,Beskrivelse,Description
openEHR-EHR-EVALUATION.occupation_summary.v1,/data[at0001]/items[at0002]/value,DV_TEXT,CComplexObject
openEHR-EHR-EVALUATION.occupation_summary.v1,/data[at0001]/items[at0003],CLUSTER,ArchetypeSlot,at0003,Arbeidsepisode,Occupation episode
openEHR-EHR-EVALUATION.occupation_summary.v1,/data[at0001]/items[at0004],ELEMENT,CComplexObject,at0004,Arbeidsstatus,Employment status
openEHR-EHR-EVALUATION.occupation_summary.v1,/data[at0001]/items[at0004]/value,DV_TEXT,CComplexObject
openEHR-EHR-EVALUATION.occupation_summary.v1,/data[at0001]/items[at0005],CLUSTER,ArchetypeSlot,at0005,Ytterligere detaljer,Additional details
openEHR-EHR-EVALUATION.occupation_summary.v1,/data[at0001]/items[at0006],ELEMENT,CComplexObject,at0006,Kommentar,Comment
openEHR-EHR-EVALUATION.occupation_summary.v1,/data[at0001]/items[at0006]/value,DV_TEXT,CComplexObject
openEHR-EHR-EVALUATION.occupation_summary.v1,/protocol[at0007],ITEM_TREE,CComplexObject,at0007,*Tree(en),Tree
openEHR-EHR-EVALUATION.occupation_summary.v1,/protocol[at0007]/items[at0008],CLUSTER,ArchetypeSlot,at0008,Tilleggsinformasjon,Extension
openEHR-EHR-EVALUATION.occupation_summary.v1,/protocol[at0007]/items[at0009],ELEMENT,CComplexObject,at0009,Sist oppdatert,Last updated
openEHR-EHR-EVALUATION.occupation_summary.v1,/protocol[at0007]/items[at0009]/value,DV_DATE_TIME,CComplexObject
