archetype_id,path,rm_type,aom_type,node_id,name_nb,name_en
openEHR-EHR-OBSERVATION.alcohol_use.v0,/,OBSERVATION,CComplexObject,at0000,Alkohol bruk,Alcohol Use
openEHR-EHR-OBSERVATION.alcohol_use.v0,/data[at0001],HISTORY,CComplexObject,at0001,Event Series,Event Series
openEHR-EHR-OBSERVATION.alcohol_use.v0,/data[at0001]/events[at0002],EVENT,CComplexObject,at0002,*Any event(en),Any event
openEHR-EHR-OBSERVATION.alcohol_use.v0,/data[at0001]/events[at0002]/data[at0003],ITEM_TREE,CComplexObject,at0003,Tree,Tree
openEHR-EHR-OBSERVATION.alcohol_use.v0,/data[at0001]/events[at0002]/data[at0003]/items[at0005],CLUSTER,CComplexObject,at0005,*Consumption Details(en),Consumption Details
openEHR-EHR-OBSERVATION.alcohol_use.v0,/data[at0001]/events[at0002]/data[at0003]/items[at0005]/items[at0006],ELEMENT,CComplexObject,at0006,*Form(en),Form
openEHR-EHR-OBSERVATION.alcohol_use.v0,/data[at0001]/events[at0002]/data[at0003]/items[at0005]/items[at0006]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.alcohol_use.v0,/data[at0001]/events[at0002]/data[at0003]/items[at0005]/items[at0015],CLUSTER,CComplexObject,at0015,*Amount(en),Amount
openEHR-EHR-OBSERVATION.alcohol_use.v0,/data[at0001]/events[at0002]/data[at0003]/items[at0005]/items[at0015]/items[at0014],ELEMENT,CComplexObject,at0014,*Standard Drinks(en),Standard Drinks
openEHR-EHR-OBSERVATION.alcohol_use.v0,/data[at0001]/events[at0002]/data[at0003]/items[at0005]/items[at0015]/items[at0014]/value,DV_QUANTITY,CDvQuantity
openEHR-EHR-OBSERVATION.alcohol_use.v0,/data[at0001]/events[at0002]/data[at0003]/items[at0005]/items[at0015]/items[at0016],ELEMENT,CComplexObject,at0016,*Grams Consumed(en),Grams Consumed
openEHR-EHR-OBSERVATION.alcohol_use.v0,/data[at0001]/events[at0002]/data[at0003]/items[at0005]/items[at0015]/items[at0016]/value,DV_QUANTITY,CDvQuantity
