archetype_id,path,rm_type,aom_type,node_id,name_de,name_sv,name_fi,name_es-ar,name_nb,name_pt-br,name_el,name_en,name_ar-sy,name_fa,name_zh-cn,name_nl
openEHR-EHR-OBSERVATION.body_mass_index.v2,/,OBSERVATION,CComplexObject,at0000,Body mass index,Kroppsmasseindex,Kehon painoindeksi,Índice de masa corporal,Kroppsmasseindeks,Índice de massa corporal,Δείκτης μάζας σώματος,Body mass index,معامل كتلة الجسم,شاخص توده بدن,体重指数,Body mass index
openEHR-EHR-OBSERVATION.body_mass_index.v2,/data[at0001],HISTORY,CComplexObject,at0001,history,history,history,*history(en),history,history,history,history,*history(en),*history(en),*history(en),*history(en)
openEHR-EHR-OBSERVATION.body_mass_index.v2,/data[at0001]/events[at0002],EVENT,CComplexObject,at0002,Beliebiges Ereignis,Ospecificerad händelse,Mikä tahansa tapahtuma,Cualquier evento,Uspesifisert hendelse,Qualquer evento,Οποιοδήποτε γεγονός,Any event,إحدى الوقائع,هر رویداد,任何事件,Elke gebeurtenis
openEHR-EHR-OBSERVATION.body_mass_index.v2,/data[at0001]/events[at0002]/data[at0003],ITEM_TREE,CComplexObject,at0003,Single,Single,Single,*Single(en),Single,Single,Single,Single,*Single(en),*Single(en),*Single(en),*Single(en)
openEHR-EHR-OBSERVATION.body_mass_index.v2,/data[at0001]/events[at0002]/data[at0003]/items[at0004],ELEMENT,CComplexObject,at0004,Body mass index,Kroppsmasseindex,Kehon painoindeksi,Índice de Masa Corporal,Kroppsmasseindeks,Índice de massa corporal,Δείκτης Μάζας Σώματος,Body mass index,معامل كتلة الجسم,شاخص توده بدن,体重指数,Body Mass Index
openEHR-EHR-OBSERVATION.body_mass_index.v2,/data[at0001]/events[at0002]/data[at0003]/items[at0004]/value,DV_QUANTITY,CDvQuantity
openEHR-EHR-OBSERVATION.body_mass_index.v2,/data[at0001]/events[at0002]/data[at0003]/items[at0012],ELEMENT,CComplexObject,at0012,Kommentar,Kommentar,Kommentti,*New element(en),Kommentar,Comentário,*New element(en),Comment,*New element(en),*New element(en),备注,Opmerking
openEHR-EHR-OBSERVATION.body_mass_index.v2,/data[at0001]/events[at0002]/data[at0003]/items[at0012]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.body_mass_index.v2,/data[at0001]/events[at0002]/data[at0003]/items[at0013],ELEMENT,CComplexObject,at0013,Klinische Interpretation,Klinisk tolkning,Kliininen tulkinta,*New element(en),Klinisk tolkning,Interpretação clínica,*New element(en),Clinical interpretation,*New element(en),*New element(en),临床解释,Klinische interpretatie
openEHR-EHR-OBSERVATION.body_mass_index.v2,/data[at0001]/events[at0002]/data[at0003]/items[at0013]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.body_mass_index.v2,/data[at0001]/events[at0002]/state[at0014],ITEM_TREE,CComplexObject,at0014,Tree,Tree,Tree,*Tree(en),*Tree(en),*Tree(en),*Tree(en),Tree,*Tree(en),*Tree(en),*Tree(en),*Tree(en)
openEHR-EHR-OBSERVATION.body_mass_index.v2,/data[at0001]/events[at0002]/state[at0014]/items[at0011],ELEMENT,CComplexObject,at0011,Störfaktoren,Påverkande faktorer,Sekoittavat tekijät,*Confounding factors(en),Konfunderende faktorer,Fatores de confusão,*Confounding factors(en),Confounding factors,*Confounding factors(en),*Confounding factors(en),干扰因素,Beïnvloedende factoren
openEHR-EHR-OBSERVATION.body_mass_index.v2,/data[at0001]/events[at0002]/state[at0014]/items[at0011]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.body_mass_index.v2,/protocol[at0005],ITEM_TREE,CComplexObject,at0005,Tree,Tree,Tree,*List(en),List,List,List,Tree,*List(en),*List(en),*Tree(en),*List(en)
openEHR-EHR-OBSERVATION.body_mass_index.v2,/protocol[at0005]/items[at0006],ELEMENT,CComplexObject,at0006,Methode,Metod,Menetelmä,Método,Metode,Método,Μέθοδος,Method,الطريقة,روش,方法,Methode
openEHR-EHR-OBSERVATION.body_mass_index.v2,/protocol[at0005]/items[at0006]/value,DV_CODED_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.body_mass_index.v2,/protocol[at0005]/items[at0006]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.body_mass_index.v2,/protocol[at0005]/items[at0010],ELEMENT,CComplexObject,at0010,Formel,Formel,Kaava,Fórmula,Formel,Fórmula,Μαθηματικός τύπος,Formula,الصيغة,فرمول,公式,Formule
openEHR-EHR-OBSERVATION.body_mass_index.v2,/protocol[at0005]/items[at0010]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.body_mass_index.v2,/protocol[at0005]/items[at0015],CLUSTER,ArchetypeSlot,at0015,Erweiterungen,Extra information,Laajennus,*Cluster(en),Tilleggsinformasjon,Extensão,*Cluster(en),Extension,*Cluster(en),*Cluster(en),扩展,*Cluster(en)
