archetype_id,path,rm_type,aom_type,node_id,name_de,name_ru,name_sv,name_fi,name_pt-br,name_ar-sy,name_en,name_it,name_es,name_nb,name_es-ar,name_ja,name_fa,name_nl
openEHR-EHR-OBSERVATION.body_temperature.v2,/,OBSERVATION,CComplexObject,at0000,Körpertemperatur,Температура тела,Kroppstemperatur,Ruumiinlämpö,Temperatura Corporal,درجة حرارة الجسم,Body temperature,Temperatura corporea,Temperatura Corporal,Kroppstemperatur,Temperatura Corporal,体温,دمای بدن,Lichaamstemperatuur
openEHR-EHR-OBSERVATION.body_temperature.v2,/data[at0002],HISTORY,CComplexObject,at0002,History,*History(en),History,History,History,*History(en),History,History,*History(en),*History(en),*History(en),History,*History(en),*History(en)
openEHR-EHR-OBSERVATION.body_temperature.v2,/data[at0002]/events[at0003],EVENT,CComplexObject,at0003,Beliebiges Ereignis,*Any event(en),Ospecificerad händelse,Mikä tahansa tapahtuma,Qualquer evento,*Any event(en),Any event,Qualsiasi evento,*Any event(en),Uspesifisert hendelse,*Any event(en),任意のイベント,*Any event(en),Elke gebeurtenis
openEHR-EHR-OBSERVATION.body_temperature.v2,/data[at0002]/events[at0003]/data[at0001],ITEM_TREE,CComplexObject,at0001,Single,*Single(en),Tree,Tree,Single,مُفرَد,Tree,Tree,Aislado,*Single(en),Aislado,Tree,منفرد,*Tree(en)
openEHR-EHR-OBSERVATION.body_temperature.v2,/data[at0002]/events[at0003]/data[at0001]/items[at0004],ELEMENT,CComplexObject,at0004,Temperatur,Температура(ru),Temperatur,Ruumiinlämpö,Temperatura,درجة الحرارة,Temperature,Temperatura,Temperatura,Temperatur,Temperatura,温度,دما,Temperatuur
openEHR-EHR-OBSERVATION.body_temperature.v2,/data[at0002]/events[at0003]/data[at0001]/items[at0004]/value,DV_QUANTITY,CDvQuantity
openEHR-EHR-OBSERVATION.body_temperature.v2,/data[at0002]/events[at0003]/data[at0001]/items[at0063],ELEMENT,CComplexObject,at0063,Kommentar,*Comment(en),Kommentar,Kommentti,Comentário,*Comment(en),Comment,Commento,*Comment(en),Kommentar,*Comment(en),*Comment(en),*Comment(en),Opmerking
openEHR-EHR-OBSERVATION.body_temperature.v2,/data[at0002]/events[at0003]/data[at0001]/items[at0063]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.body_temperature.v2,/data[at0002]/events[at0003]/state[at0029],ITEM_TREE,CComplexObject,at0029,Status,Состояние,Status,Tila,Estado,الحالة,State,Stato,Estado,Tilstanden,Estado,*State(en),حالت,Toestand
openEHR-EHR-OBSERVATION.body_temperature.v2,/data[at0002]/events[at0003]/state[at0029]/items[at0030],ELEMENT,CComplexObject,at0030,Körperexposition,*Body exposure(en),Kroppsexponering,Kehon paljaus,Exposição do corpo,تَعَرُّض الجسم,Body exposure,Esposizione corporale,Exposición corporal,Kroppseksponering,Exposición corporal,身体暴露,نحوه پوشش بدن,Ontbloting
openEHR-EHR-OBSERVATION.body_temperature.v2,/data[at0002]/events[at0003]/state[at0029]/items[at0030]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.body_temperature.v2,/data[at0002]/events[at0003]/state[at0029]/items[at0030]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.body_temperature.v2,/data[at0002]/events[at0003]/state[at0029]/items[at0041],ELEMENT,CComplexObject,at0041,Beschreibung der Wärmebelastung,Тепловой стресс,Beskrivning av termisk stress,Lämpöstressin kuvaus,Descrição de estresse térmico,وصف الضغط الحرارة,Description of thermal stress,Descrizione dello stress termico,Descripción de estrés térmico,Beskrivelse termisk belastning,Descripción de estrés térmico,熱応力についての記載,توصیف استرسهای گرمایی,Beschrijving van de temperatuur stress
openEHR-EHR-OBSERVATION.body_temperature.v2,/data[at0002]/events[at0003]/state[at0029]/items[at0041]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.body_temperature.v2,/data[at0002]/events[at0003]/state[at0029]/items[at0056],CLUSTER,ArchetypeSlot,at0056,Umgebungsbedingungen,*Environmental conditions(en),Miljöförhållanden,Ympäristöolosuhteet,Condições ambientais,*Environmental conditions(en),Environmental conditions,Condizioni ambientali,*Environmental conditions(en),Miljøpåvirkninger,*Environmental conditions(en),環境条件,*Environmental conditions(en),Omgevingsfactoren
openEHR-EHR-OBSERVATION.body_temperature.v2,/data[at0002]/events[at0003]/state[at0029]/items[at0057],CLUSTER,ArchetypeSlot,at0057,Betätigung,Нагрузка,Ansträngning,Rasitus,Esforço,المجهود,Exertion,Sforzo,Ejercicio,Fysisk anstrengelse,Ejercicio,労作,جنب و جوش,Inspannign
openEHR-EHR-OBSERVATION.body_temperature.v2,/data[at0002]/events[at0003]/state[at0029]/items[at0065],ELEMENT,CComplexObject,at0065,Tag des Menstruationszyklus,*Day of menstrual cycle(en),Dag i menstruationscykeln,Kuukautiskierron päivä,Dia do ciclo menstrual,*Day of menstrual cycle(en),Day of menstrual cycle,Giorno del ciclo mestruale),Día del ciclo menstrual,Menstruasjonssyklusdag,Día del ciclo menstrual,月経周期の日,*Day of menstrual cycle(en),Dag van de menstruele cyclus
openEHR-EHR-OBSERVATION.body_temperature.v2,/data[at0002]/events[at0003]/state[at0029]/items[at0065]/value,DV_COUNT,CComplexObject
openEHR-EHR-OBSERVATION.body_temperature.v2,/data[at0002]/events[at0003]/state[at0029]/items[at0065]/value/magnitude,Integer,CPrimitiveObject
openEHR-EHR-OBSERVATION.body_temperature.v2,/data[at0002]/events[at0003]/state[at0029]/items[at0066],ELEMENT,CComplexObject,at0066,Störfaktoren,*DV_TEXT (en),*Confounding factors(en),*Confounding factors(en),*DV_TEXT (en),*DV_TEXT (en),Confounding factors,*Confounding factors(en),*Confounding factors(en),Konfunderende faktorer,*DV_TEXT (en),*Confounding factors(en),*DV_TEXT (en),Beïnvloedende factoren
openEHR-EHR-OBSERVATION.body_temperature.v2,/data[at0002]/events[at0003]/state[at0029]/items[at0066]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.body_temperature.v2,/protocol[at0020],ITEM_TREE,CComplexObject,at0020,Protocol,*Protocol(en),Protocol,Protocol,Protocol,*Protocol(en),Protocol,Protocol,*Protocol(en),*Protocol(en),*Protocol(en),Protocol,*Protocol(en),*Protocol(en)
openEHR-EHR-OBSERVATION.body_temperature.v2,/protocol[at0020]/items[at0021],ELEMENT,CComplexObject,at0021,Lokalisation der Messung,*Location of measurement(en),Mätplats,Mittauskohta,Local de aferição,*Location of measurement(en),Location of measurement,Posizione della misura,*Location of measurement(en),Målested,*Location of measurement(en),計測部位,*Location of measurement(en),Locatie van de meting
openEHR-EHR-OBSERVATION.body_temperature.v2,/protocol[at0020]/items[at0021]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.body_temperature.v2,/protocol[at0020]/items[at0021]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.body_temperature.v2,/protocol[at0020]/items[at0059],CLUSTER,ArchetypeSlot,at0059,Gerät,Устройство,Utrustning,Laite,Dispositivo,الجهيزة,Device,Dispositivo,Dispositivo,Måleinstrument,Dispositivo,機器,تجهیز,Apparaat
openEHR-EHR-OBSERVATION.body_temperature.v2,/protocol[at0020]/items[at0062],CLUSTER,ArchetypeSlot,at0062,Erweiterung,*Extension(en),Extra information,Laajennus,Extensão,*Extension(en),Extension,Estensione,*Extension(en),Tilleggsinformasjon,*Extension(en),*Extension(en),*Extension(en),Uitbreiding
openEHR-EHR-OBSERVATION.body_temperature.v2,/protocol[at0020]/items[at0064],CLUSTER,ArchetypeSlot,at0064,Strukturierte Lokalisation der Messung,*Structured measurement location(en),Strukturerad mätplats,Rakenteellinen mittauskohta,Localização estruturada de aferição,*Structured measurement location(en),Structured measurement location,Luogo di misura strutturato,*Structured measurement location(en),Strukturert målested,*Structured measurement location(en),*Structured measurement location(en),*Structured measurement location(en),Gestructureerde meetlocatie
