archetype_id,path,rm_type,aom_type,node_id,name_de,name_ru,name_sv,name_fi,name_pt-br,name_ar-sy,name_en,name_fr,name_zh-cn,name_es,name_nb,name_ja,name_fa,name_nl
openEHR-EHR-OBSERVATION.body_weight.v2,/,OBSERVATION,CComplexObject,at0000,Körpergewicht,Масса тела,Kroppsvikt,Paino,Peso corporal,وزن الجسم,Body weight,Poids corporel,体重,Peso corporal,Kroppsvekt,体重,وزن بدن,Lichaamsgewicht
openEHR-EHR-OBSERVATION.body_weight.v2,/data[at0002],HISTORY,CComplexObject,at0002,History,История,history,history,history,history,history,history,*history(en),*history(en),history,*history(en),history,*history(en)
openEHR-EHR-OBSERVATION.body_weight.v2,/data[at0002]/events[at0003],EVENT,CComplexObject,at0003,Beliebiges Ereignis,*Any event(en),Ospecificerad händelse,Mikä tahansa tapahtuma,Qualquer evento,*Any event(en),Any event,*Any event(en),任何事件,*Any event(en),Uspesifisert hendelse,*Any event(en),*Any event(en),Elke gebeurtenis
openEHR-EHR-OBSERVATION.body_weight.v2,/data[at0002]/events[at0003]/data[at0001],ITEM_TREE,CComplexObject,at0001,Simple,Простой,Simple,Simple,Simple,Simple,Simple,Simple,*Simple(en),*Simple(en),Simple,*Simple(en),Simple,*Simple(en)
openEHR-EHR-OBSERVATION.body_weight.v2,/data[at0002]/events[at0003]/data[at0001]/items[at0004],ELEMENT,CComplexObject,at0004,Gewicht,Вес,Vikt,Paino,Peso,الوزن,Weight,Poids,重量,Peso,Kroppsvekt,重量,وزن,Gewicht
openEHR-EHR-OBSERVATION.body_weight.v2,/data[at0002]/events[at0003]/data[at0001]/items[at0004]/value,DV_QUANTITY,CDvQuantity
openEHR-EHR-OBSERVATION.body_weight.v2,/data[at0002]/events[at0003]/data[at0001]/items[at0024],ELEMENT,CComplexObject,at0024,Kommentar,*Comment(en),Kommentar,Kommentti,Comentário,*Comment(en),Comment,Commentaire,备注,*Comment(en),Kommentar,*Comment(en),*Comment(en),Opmerking
openEHR-EHR-OBSERVATION.body_weight.v2,/data[at0002]/events[at0003]/data[at0001]/items[at0024]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.body_weight.v2,/data[at0002]/events[at0003]/state[at0008],ITEM_TREE,CComplexObject,at0008,State structure,state structure,state structure,state structure,state structure,state structure,state structure,state structure,*state structure(en),*state structure(en),state structure,*state structure(en),state structure,*state structure(en)
openEHR-EHR-OBSERVATION.body_weight.v2,/data[at0002]/events[at0003]/state[at0008]/items[at0009],ELEMENT,CComplexObject,at0009,Status der Bekleidung,*State of dress(en),Klädsel,Vaatetus,Situação do vestuário,*State of dress(en),State of dress,État de la tenue vestimentaire,衣着状态,*State of dress(en),Påkledning,*State of dress(en),*State of dress(en),Kleding
openEHR-EHR-OBSERVATION.body_weight.v2,/data[at0002]/events[at0003]/state[at0008]/items[at0009]/value,DV_CODED_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.body_weight.v2,/data[at0002]/events[at0003]/state[at0008]/items[at0009]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.body_weight.v2,/data[at0002]/events[at0003]/state[at0008]/items[at0025],ELEMENT,CComplexObject,at0025,Einflußfaktoren,*Confounding factors(en),Möjliga felkällor,Sekoittavat tekijät,Fatores de confundimento,*Confounding factors(en),Confounding factors,Facteurs de confusion,干扰因素,*Confounding factors(en),Konfunderende faktorer,*Confounding factors(en),*Confounding factors(en),Beïnvloedende factoren.
openEHR-EHR-OBSERVATION.body_weight.v2,/data[at0002]/events[at0003]/state[at0008]/items[at0025]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.body_weight.v2,/data[at0002]/events[at0026],POINT_EVENT,CComplexObject,at0026,Geburt,*Birth(en),Födelse,Syntymä,Nascimento,*Birth(en),Birth,Naissance,出生,*Birth(en),Fødsel,*Birth(en),*Birth(en),Geboorte
openEHR-EHR-OBSERVATION.body_weight.v2,/data[at0002]/events[at0026]/data,ITEM_TREE,ArchetypeInternalRef
