archetype_id,path,rm_type,aom_type,node_id,name_nb,name_en
openEHR-EHR-OBSERVATION.cormack_lehane.v1,/,OBSERVATION,CComplexObject,at0000,Cormack/Lehane-klassifikasjon,Cormack-Lehane classification
openEHR-EHR-OBSERVATION.cormack_lehane.v1,/data[at0007],HISTORY,CComplexObject,at0007,Event Series,Event Series
openEHR-EHR-OBSERVATION.cormack_lehane.v1,/data[at0007]/events[at0008],POINT_EVENT,CComplexObject,at0008,Uspesifisert tidspunkthendelse,Any point in time event
openEHR-EHR-OBSERVATION.cormack_lehane.v1,/data[at0007]/events[at0008]/data[at0009],ITEM_TREE,CComplexObject,at0009,Tree,Tree
openEHR-EHR-OBSERVATION.cormack_lehane.v1,/data[at0007]/events[at0008]/data[at0009]/items[at0001],ELEMENT,CComplexObject,at0001,Gradering,Grading
openEHR-EHR-OBSERVATION.cormack_lehane.v1,/data[at0007]/events[at0008]/data[at0009]/items[at0001]/value,DV_CODED_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.cormack_lehane.v1,/data[at0007]/events[at0008]/data[at0009]/items[at0001]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.cormack_lehane.v1,/data[at0007]/events[at0008]/data[at0009]/items[at0006],ELEMENT,CComplexObject,at0006,Kommentar,Comment
openEHR-EHR-OBSERVATION.cormack_lehane.v1,/data[at0007]/events[at0008]/data[at0009]/items[at0006]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.cormack_lehane.v1,/protocol[at0010],ITEM_TREE,CComplexObject,at0010,Tree,Tree
openEHR-EHR-OBSERVATION.cormack_lehane.v1,/protocol[at0010]/items[at0011],CLUSTER,ArchetypeSlot,at0011,Tilleggsinformasjon,Extension
