archetype_id,path,rm_type,aom_type,node_id,name_nb
openEHR-EHR-OBSERVATION.downton_fall_risk_index_no.v1,/,OBSERVATION,CComplexObject,at0000,Downton fall risk index (NO)
openEHR-EHR-OBSERVATION.downton_fall_risk_index_no.v1,/data[at0001],HISTORY,CComplexObject,at0001,History
openEHR-EHR-OBSERVATION.downton_fall_risk_index_no.v1,/data[at0001]/events[at0002],POINT_EVENT,CComplexObject,at0002,Uspesifisert tidspunkthendelse
openEHR-EHR-OBSERVATION.downton_fall_risk_index_no.v1,/data[at0001]/events[at0002]/data[at0003],ITEM_TREE,CComplexObject,at0003,Tree
openEHR-EHR-OBSERVATION.downton_fall_risk_index_no.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0004],ELEMENT,CComplexObject,at0004,Tidligere kjente fall
openEHR-EHR-OBSERVATION.downton_fall_risk_index_no.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0004]/value,DV_ORDINAL,CDvOrdinal
openEHR-EHR-OBSERVATION.downton_fall_risk_index_no.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0007],ELEMENT,CComplexObject,at0007,Bruk av legemidler
openEHR-EHR-OBSERVATION.downton_fall_risk_index_no.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0007]/value,DV_ORDINAL,CDvOrdinal
openEHR-EHR-OBSERVATION.downton_fall_risk_index_no.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0015],ELEMENT,CComplexObject,at0015,Sensorisk funksjon
openEHR-EHR-OBSERVATION.downton_fall_risk_index_no.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0015]/value,DV_ORDINAL,CDvOrdinal
openEHR-EHR-OBSERVATION.downton_fall_risk_index_no.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0020],ELEMENT,CComplexObject,at0020,Kognitiv funksjon
openEHR-EHR-OBSERVATION.downton_fall_risk_index_no.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0020]/value,DV_ORDINAL,CDvOrdinal
openEHR-EHR-OBSERVATION.downton_fall_risk_index_no.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0021],ELEMENT,CComplexObject,at0021,Gangfunksjon
openEHR-EHR-OBSERVATION.downton_fall_risk_index_no.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0021]/value,DV_ORDINAL,CDvOrdinal
openEHR-EHR-OBSERVATION.downton_fall_risk_index_no.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0027],ELEMENT,CComplexObject,at0027,Sum risikofaktorer
openEHR-EHR-OBSERVATION.downton_fall_risk_index_no.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0027]/value,DV_COUNT,CComplexObject
openEHR-EHR-OBSERVATION.downton_fall_risk_index_no.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0027]/value/magnitude,Integer,CPrimitiveObject
openEHR-EHR-OBSERVATION.downton_fall_risk_index_no.v1,/protocol[at0028],ITEM_TREE,CComplexObject,at0028,Item tree
