archetype_id,path,rm_type,aom_type,node_id,name_de,name_sv,name_es-ar,name_nb,name_pt-br,name_ar-sy,name_sl,name_en,name_zh-cn,name_es,name_ca
openEHR-EHR-OBSERVATION.exam.v1,/,OBSERVATION,CComplexObject,at0000,Ergebnisse der körperlichen Untersuchung,Fysiska undersökningsfynd,Hallazgos del Examen Fisico,Funn ved fysisk undersøkelse,Achados de exame físico,*Physical Examination Findings(en),Ugotovitve fizičnega pregleda,Physical examination findings,体格检查发现,Hallazgos de la examinación física,Troballes de l'exploració física
openEHR-EHR-OBSERVATION.exam.v1,/data[at0001],HISTORY,CComplexObject,at0001,Event Series,Event Series,*Event Series(en),Event Series,Event Series,*Event Series(en),*Event Series(en),Event Series,Event Series,Event Series,Event Series
openEHR-EHR-OBSERVATION.exam.v1,/data[at0001]/events[at0002],EVENT,CComplexObject,at0002,Jedes Ereignis,Ospecificerad händelse,*Any event(en),Uspesifisert hendelse,Qualquer evento,*Any event(en),Dogodek,Any event,任何事件,*Any event(en),Qualsevol esdeveniment
openEHR-EHR-OBSERVATION.exam.v1,/data[at0001]/events[at0002]/data[at0003],ITEM_TREE,CComplexObject,at0003,Tree,Tree,*Tree(en),Tree,Tree,*Tree(en),*Tree(en),Tree,Tree,Tree,Tree
openEHR-EHR-OBSERVATION.exam.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0004],ELEMENT,CComplexObject,at0004,Beschreibung,Beskrivning,Descripcion,Beskrivelse,Descrição,*Description(en),Opis,Description,描述,Descripción,Descripció
openEHR-EHR-OBSERVATION.exam.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0004]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.exam.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0005],CLUSTER,ArchetypeSlot,at0005,Untersuchungsdetails,Undersökningsdetaljer,*Examination Detail(en),Undersøkelsesdetaljer,Detalhes do exame,*Examination Detail(en),Podrobnosti pregleda,Examination detail,检查细节,Detalles de la examinación,Detalls de l'examen
openEHR-EHR-OBSERVATION.exam.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0006],ELEMENT,CComplexObject,at0006,Interpretation,Tolkning,Interpretacion,Fortolkning,Interpretação,*Interpretation(en),Interpretacija,Interpretation,解释,Interpretación,Interpretació
openEHR-EHR-OBSERVATION.exam.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0006]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.exam.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0011],ELEMENT,CComplexObject,at0011,Kommentar,Kommentar,Comentario,Kommentar,Comentário,*Comment(en),Komentar,Comment,注释,Comentario,Comentaris
openEHR-EHR-OBSERVATION.exam.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0011]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.exam.v1,/data[at0001]/events[at0002]/state[at0009],ITEM_TREE,CComplexObject,at0009,Tree,Tree,*Tree(en),Tree,Tree,*Tree(en),*Tree(en),Tree,Tree,Tree,Tree
openEHR-EHR-OBSERVATION.exam.v1,/data[at0001]/events[at0002]/state[at0009]/items[at0008],ELEMENT,CComplexObject,at0008,Störfaktoren,Möjliga felkällor,Factores de Confusion,Konfunderende faktorer,Fatores de confundimento,*Confounding Factors(en),Moteči dejavniki,Confounding factors,干扰因素,Factores de confusión,Factors de confusió
openEHR-EHR-OBSERVATION.exam.v1,/data[at0001]/events[at0002]/state[at0009]/items[at0008]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.exam.v1,/data[at0001]/events[at0002]/state[at0009]/items[at0013],ELEMENT,CComplexObject,at0013,Position,Kroppsställning,*Position(en),Stilling,Posição,*Position(en),Položaj,Position,*Position(en),*Position(en),Posició
openEHR-EHR-OBSERVATION.exam.v1,/data[at0001]/events[at0002]/state[at0009]/items[at0013]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.exam.v1,/protocol[at0007],ITEM_TREE,CComplexObject,at0007,Tree,Tree,*Tree(en),Tree,Tree,*Tree(en),*Tree(en),Tree,Tree,Tree,Tree
openEHR-EHR-OBSERVATION.exam.v1,/protocol[at0007]/items[at0010],CLUSTER,ArchetypeSlot,at0010,Gerätedetails,Detaljer om utrustning,Detalle del dispositivo,Detaljer om medisinsk utstyr,Detalhes do dispositivo,*Device Details(en),Podrobnosti naprave,Device Details,装置细节,Detalles del dispositivo,Detalls del dispositiu
openEHR-EHR-OBSERVATION.exam.v1,/protocol[at0007]/items[at0012],CLUSTER,ArchetypeSlot,at0012,Erweiterung,Tilläggsinformation,*Cluster(en),Tilleggsinformasjon,Extensão,*Cluster(en),Razširitev,Extension,扩展,Extensión,Ampliació
