archetype_id,path,rm_type,aom_type,node_id,name_de,name_ru,name_sv,name_fi,name_pt-br,name_en,name_ar-sy,name_fr,name_zh-cn,name_es-ar,name_nb,name_fa,name_nl
openEHR-EHR-OBSERVATION.height.v2,/,OBSERVATION,CComplexObject,at0000,Größe/Länge,Рост/длина тела,Kroppslängd,Pituus,Altura / comprimento,Height/Length,الارتفاع / الطول,Hauteur/Longueur,身高/身长,Altura/Longitud corporal,Høyde/Lengde,قد و یا طول,Hoogte/Lengte
openEHR-EHR-OBSERVATION.height.v2,/data[at0001],HISTORY,CComplexObject,at0001,History,*history(en),history,history,history,history,*history(en),history,*history(en),*history(en),history,*history(en),history
openEHR-EHR-OBSERVATION.height.v2,/data[at0001]/events[at0002],EVENT,CComplexObject,at0002,Beliebiges Ereignis,*Any event(en),Händelse,Mikä tahansa tapahtuma,Qualquer evento,Any event,*Any event(en),*Any event(en),*Any event(en),*Any event(en),Uspesifisert hendelse,*Any event(en),Elke gebeurtenis
openEHR-EHR-OBSERVATION.height.v2,/data[at0001]/events[at0002]/data[at0003],ITEM_TREE,CComplexObject,at0003,Simple,*Simple(en),Simple,Simple,Simple,Simple,*Simple(en),Simple,*Simple(en),*Simple(en),Simple,*Simple(en),Simple
openEHR-EHR-OBSERVATION.height.v2,/data[at0001]/events[at0002]/data[at0003]/items[at0004],ELEMENT,CComplexObject,at0004,Größe/Länge,Рост/длина тела,Kroppslängd,Pituus,Altura / comprimento,Height/Length,الارتفاع / الطول,Hauteur/Longueur,身高/身长,Altura/Longitud corporal,Høyde/lengde,قد و یا طول,Hoogte/Lengte
openEHR-EHR-OBSERVATION.height.v2,/data[at0001]/events[at0002]/data[at0003]/items[at0004]/value,DV_QUANTITY,CDvQuantity
openEHR-EHR-OBSERVATION.height.v2,/data[at0001]/events[at0002]/data[at0003]/items[at0018],ELEMENT,CComplexObject,at0018,Kommentar,*Comment(en),Kommentar,Kommentti,Comentário,Comment,*Comment(en),Commentaire,*Comment(en),*Comment(en),Kommentar,*Comment(en),Opmerking
openEHR-EHR-OBSERVATION.height.v2,/data[at0001]/events[at0002]/data[at0003]/items[at0018]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.height.v2,/data[at0001]/events[at0002]/state[at0013],ITEM_TREE,CComplexObject,at0013,Tree,*Tree(en),Tree,Tree,Tree,Tree,*Tree(en),Tree,*Tree(en),*Tree(en),Tree,*Tree(en),Tree
openEHR-EHR-OBSERVATION.height.v2,/data[at0001]/events[at0002]/state[at0013]/items[at0014],ELEMENT,CComplexObject,at0014,Position,Положение,Kroppsställning,Asento,Posição,Position,الوضع,Position,体位,Posición,Kroppsstilling,موقعیت,Positie
