archetype_id,path,rm_type,aom_type,node_id,name_de,name_sv,name_nb,name_en
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/,OBSERVATION,CComplexObject,at0000,Bildgebendes Untersuchungsergebnis,Bilddiagnostiskt resultat,Bildediagnostisk svar,Imaging examination result
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/data[at0001],HISTORY,CComplexObject,at0001,Event Series,Event Series,Event Series,Event Series
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/data[at0001]/events[at0002],EVENT,CComplexObject,at0002,Beliebiges Ereignis,Ospecificerad händelse,Uspesifisert hendelse,Any event
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/data[at0001]/events[at0002]/data[at0003],ITEM_TREE,CComplexObject,at0003,Tree,Tree,Tree,Tree
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0004],ELEMENT,CComplexObject,at0004,Name der Studie,*Study name (en),Undersøkelsesnavn,Study name
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0004]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0006],CLUSTER,ArchetypeSlot,at0006,Zielgebiet strukturiert,*Structured target body site (en),Strukturert kroppsdel,Structured target body site
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0008],ELEMENT,CComplexObject,at0008,Bildgebende Befunde,*Imaging findings (en),Funn,Imaging findings
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0008]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0014],ELEMENT,CComplexObject,at0014,Klinische Zusammenfassung,*Clinical summary (en),Kliniske opplysninger,Clinical summary
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0014]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0020],ELEMENT,CComplexObject,at0020,Bildgebende Diagnose,Diagnos,Bildediagnostisk diagnose,Imaging diagnosis
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0020]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0021],ELEMENT,CComplexObject,at0021,Schlussfolgerung,Slutsats,Resymé,Overall impression
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0021]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0023],ELEMENT,CComplexObject,at0023,Kommentar,Kommentar,Kommentar,Comment
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0023]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0044],CLUSTER,ArchetypeSlot,at0044,Strukturierte bildgebende Befunde,*Structured imaging findings (en),Strukturerte funn,Structured imaging findings
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0045],CLUSTER,ArchetypeSlot,at0045,Berichtsrepräsentation,*Report representation (en),Presentasjon av rapporten,Report representation
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0055],ELEMENT,CComplexObject,at0055,Zielgebiet,*Target body site (en),Kroppsdel,Target body site
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0055]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0056],ELEMENT,CComplexObject,at0056,Vergleichsbefunde,*Comparison findings (en),Funn ved sammenligning,Comparison findings
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0056]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0057],ELEMENT,CComplexObject,at0057,Beschreibung der Qualität der Bildgebung,*Imaging quality description (en),Bildediagnostisk kvalitetsbeskrivelse,Imaging quality description
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0057]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0058],ELEMENT,CComplexObject,at0058,Bildgebende Differentialdiagnose,Differentialdiagnos,Bildediagnostisk differensialdiagnose,Imaging differential diagnosis
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0058]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0059],ELEMENT,CComplexObject,at0059,Empfehlung,Rekommendation,Anbefaling,Recommendation
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0059]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0061],ELEMENT,CComplexObject,at0061,Klinische Indikation,*Clinical indication (en),Problemstilling,Clinical indication
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0061]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0063],ELEMENT,CComplexObject,at0063,Qualität der Bildgebung,*Imaging quality (en),Bildediagnostisk kvalitet,Imaging quality
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0063]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0070],ELEMENT,CComplexObject,at0070,Zeitpunkt der Studie,*Study date (en),Undersøkelsesdato,Study date
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0070]/value,DV_DATE_TIME,CComplexObject
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0071],ELEMENT,CComplexObject,at0071,Zeitstempel des Status,*Status timestamp (en),Tidsangivelse for overordnet resultatstatus,Status timestamp
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0071]/value,DV_DATE_TIME,CComplexObject
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0072],ELEMENT,CComplexObject,at0072,Status des Gesamtergebnisses,*Overall result status (en),Status på undersøkelsesresultatet,Overall result status
