archetype_id,path,rm_type,aom_type,node_id,name_nb,name_en
openEHR-EHR-OBSERVATION.mallampati_classification.v1,/,OBSERVATION,CComplexObject,at0000,Modifisert Mallampati-klassifikasjon,Modified Mallampati classification
openEHR-EHR-OBSERVATION.mallampati_classification.v1,/data[at0001],HISTORY,CComplexObject,at0001,Event Series,Event Series
openEHR-EHR-OBSERVATION.mallampati_classification.v1,/data[at0001]/events[at0002],POINT_EVENT,CComplexObject,at0002,Uspesifisert tidspunkthendelse,Any point in time event
openEHR-EHR-OBSERVATION.mallampati_classification.v1,/data[at0001]/events[at0002]/data[at0003],ITEM_TREE,CComplexObject,at0003,Tree,Tree
openEHR-EHR-OBSERVATION.mallampati_classification.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0004],ELEMENT,CComplexObject,at0004,Mallampati-klassifikasjon,Mallampati classification
openEHR-EHR-OBSERVATION.mallampati_classification.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0004]/value,DV_ORDINAL,CDvOrdinal
openEHR-EHR-OBSERVATION.mallampati_classification.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0005],ELEMENT,CComplexObject,at0005,Kommentar,Comment
openEHR-EHR-OBSERVATION.mallampati_classification.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0005]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.mallampati_classification.v1,/protocol[at0010],ITEM_TREE,CComplexObject,at0010,*Tree(nb),Tree
openEHR-EHR-OBSERVATION.mallampati_classification.v1,/protocol[at0010]/items[at0011],CLUSTER,ArchetypeSlot,at0011,Tilleggsinformasjon,Extension
