archetype_id,path,rm_type,aom_type,node_id,name_fi,name_nb,name_pt-br,name_en
openEHR-EHR-OBSERVATION.menstruation.v1,/,OBSERVATION,CComplexObject,at0000,*Menstrual cycle (en),Menstruasjonssyklus,*Menstrual cycle (en),Menstrual cycle
openEHR-EHR-OBSERVATION.menstruation.v1,/data[at0001],HISTORY,CComplexObject,at0001,Event Series,Event Series,Event Series,Event Series
openEHR-EHR-OBSERVATION.menstruation.v1,/data[at0001]/events[at0002],EVENT,CComplexObject,at0002,*Any event (en),Uspesifisert hendelse,*Any event (en),Any event
openEHR-EHR-OBSERVATION.menstruation.v1,/data[at0001]/events[at0002]/data[at0003],ITEM_TREE,CComplexObject,at0003,Tree,Tree,Tree,Tree
openEHR-EHR-OBSERVATION.menstruation.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0004],ELEMENT,CComplexObject,at0004,Kuukautisten ensimmäinen vuotopäivä,Menstruasjonens start,Início da regra menstrual,Start of menses
openEHR-EHR-OBSERVATION.menstruation.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0004]/value,DV_DATE_TIME,CComplexObject
openEHR-EHR-OBSERVATION.menstruation.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0005],ELEMENT,CComplexObject,at0005,Kuukautisten kesto,Menstruasjonens varighet,Duração da menstruação,Duration of menses
openEHR-EHR-OBSERVATION.menstruation.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0005]/value,DV_DURATION,CComplexObject
openEHR-EHR-OBSERVATION.menstruation.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0005]/value/value,DV_DURATION,CPrimitiveObject
openEHR-EHR-OBSERVATION.menstruation.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0006],ELEMENT,CComplexObject,at0006,*Description of the cycle (en),Beskrivelse av menstruasjonssyklusen,*Description of the cycle (en),Description of the cycle
openEHR-EHR-OBSERVATION.menstruation.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0006]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.menstruation.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0007],ELEMENT,CComplexObject,at0007,Kuukautisvuodon määrä,Relativ mengde,*Relative flow (en),Relative flow
openEHR-EHR-OBSERVATION.menstruation.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0007]/value,DV_CODED_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.menstruation.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0007]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.menstruation.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0013],ELEMENT,CComplexObject,at0013,Verihyytymiä,Blodkoagler,Coágulos de sangue,Blood clots
openEHR-EHR-OBSERVATION.menstruation.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0013]/value,DV_CODED_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.menstruation.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0013]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.menstruation.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0019],CLUSTER,ArchetypeSlot,at0019,*Additional details (en),Ytterligere detaljer,*Additional details (en),Additional details
openEHR-EHR-OBSERVATION.menstruation.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0032],ELEMENT,CComplexObject,at0032,*Comment (en),Kommentar,*Comment (en),Comment
openEHR-EHR-OBSERVATION.menstruation.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0032]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.menstruation.v1,/data[at0001]/events[at0002]/state[at0020],ITEM_TREE,CComplexObject,at0020,Tree,Tree,Tree,Tree
openEHR-EHR-OBSERVATION.menstruation.v1,/data[at0001]/events[at0002]/state[at0020]/items[at0021],ELEMENT,CComplexObject,at0021,*Confounding factors (en),Bakenforliggende faktorer,*Confounding factors (en),Confounding factors
openEHR-EHR-OBSERVATION.menstruation.v1,/data[at0001]/events[at0002]/state[at0020]/items[at0021]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.menstruation.v1,/protocol[at0022],ITEM_TREE,CComplexObject,at0022,*Tree(en),Tree,*Tree(en),Tree
openEHR-EHR-OBSERVATION.menstruation.v1,/protocol[at0022]/items[at0023],CLUSTER,ArchetypeSlot,at0023,*Extension(en),Tilleggsinformasjon,*Extension(en),Extension
