archetype_id,path,rm_type,aom_type,node_id,name_nb
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/,OBSERVATION,CComplexObject,at0000,Termometer for grad av påkjenning - NCCN_2017
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001],HISTORY,CComplexObject,at0001,History
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002],POINT_EVENT,CComplexObject,at0002,Uspesifisert tidspunkthendelse
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003],ITEM_TREE,CComplexObject,at0003,Tree
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0005],ELEMENT,CComplexObject,at0005,Termometer for grad av påkjenning
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0005]/value,DV_ORDINAL,CDvOrdinal
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0018],CLUSTER,CComplexObject,at0018,Praktiske problemer
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0018]/items[at0025],ELEMENT,CComplexObject,at0025,Omsorg for barn
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0018]/items[at0025]/value,DV_CODED_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0018]/items[at0025]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0018]/items[at0028],ELEMENT,CComplexObject,at0028,Bolig
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0018]/items[at0028]/value,DV_CODED_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0018]/items[at0028]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0018]/items[at0031],ELEMENT,CComplexObject,at0031,Økonomi/Forsikring
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0018]/items[at0031]/value,DV_CODED_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0018]/items[at0031]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0018]/items[at0034],ELEMENT,CComplexObject,at0034,Transport
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0018]/items[at0034]/value,DV_CODED_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0018]/items[at0034]/value/defining_code,CODE_PHRASE,CCodePhrase
