archetype_id,path,rm_type,aom_type,node_id,name_nb,name_en
openEHR-EHR-OBSERVATION.pasi_score.v1,/,OBSERVATION,CComplexObject,at0000,Psoriasis Area Severity Index (PASI),Psoriasis Area Severity Index (PASI)
openEHR-EHR-OBSERVATION.pasi_score.v1,/data[at0001],HISTORY,CComplexObject,at0001,History,History
openEHR-EHR-OBSERVATION.pasi_score.v1,/data[at0001]/events[at0002],EVENT,CComplexObject,at0002,Uspesifisert hendelse,Any event
openEHR-EHR-OBSERVATION.pasi_score.v1,/data[at0001]/events[at0002]/data[at0003],ITEM_TREE,CComplexObject,at0003,Tree,Tree
openEHR-EHR-OBSERVATION.pasi_score.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0004],CLUSTER,CComplexObject,at0004,Head region (h),Head region (h)
openEHR-EHR-OBSERVATION.pasi_score.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0004]/items[at0005],ELEMENT,CComplexObject,at0005,Erythema (E),Erythema (E)
openEHR-EHR-OBSERVATION.pasi_score.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0004]/items[at0005]/value,DV_ORDINAL,CDvOrdinal
openEHR-EHR-OBSERVATION.pasi_score.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0004]/items[at0011],ELEMENT,CComplexObject,at0011,Infiltration (I),Infiltration (I)
openEHR-EHR-OBSERVATION.pasi_score.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0004]/items[at0011]/value,DV_ORDINAL,CDvOrdinal
openEHR-EHR-OBSERVATION.pasi_score.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0004]/items[at0017],ELEMENT,CComplexObject,at0017,Desquamation (D),Desquamation (D)
openEHR-EHR-OBSERVATION.pasi_score.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0004]/items[at0017]/value,DV_ORDINAL,CDvOrdinal
openEHR-EHR-OBSERVATION.pasi_score.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0004]/items[at0023],ELEMENT,CComplexObject,at0023,Body surface area involvement (A),Body surface area involvement (A)
openEHR-EHR-OBSERVATION.pasi_score.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0004]/items[at0023]/value,DV_ORDINAL,CDvOrdinal
openEHR-EHR-OBSERVATION.pasi_score.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0004]/items[at0038],ELEMENT,CComplexObject,at0038,Score head region,Score head region
openEHR-EHR-OBSERVATION.pasi_score.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0004]/items[at0038]/value,DV_QUANTITY,CDvQuantity
openEHR-EHR-OBSERVATION.pasi_score.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0032],CLUSTER,CComplexObject,at0032,Trunk region (t),Trunk region (t)
openEHR-EHR-OBSERVATION.pasi_score.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0032]/items[at0005],ELEMENT,CComplexObject,at0005,Erythema (E),Erythema (E)
