archetype_id,path,rm_type,aom_type,node_id,name_de,name_fi,name_sv,name_nb,name_en,name_it,name_fr,name_zh-cn
openEHR-EHR-OBSERVATION.symptom_sign_screening.v1,/,OBSERVATION,CComplexObject,at0000,Screening-Fragebogen zur Symptomen/Anzeichen,Oire / tuntemus seulontakysely,Frågeformulär för symptom och andra tecken,Kartleggingsspørsmål om symptomer/sykdomstegn,Symptom/sign screening questionnaire,Questionario di screening dei sintomi/segni,Questionnaire de dépistage des symptômes/signes,症状/体征筛查问卷
openEHR-EHR-OBSERVATION.symptom_sign_screening.v1,/data[at0001],HISTORY,CComplexObject,at0001,History,History,History,History,History,History,History,History
openEHR-EHR-OBSERVATION.symptom_sign_screening.v1,/data[at0001]/events[at0002],EVENT,CComplexObject,at0002,Beliebiges Ereignis,*Any event(en),Ospecificerad händelse,Uspesifisert hendelse,Any event,Qualsiasi evento,Tout événement,任何事件
openEHR-EHR-OBSERVATION.symptom_sign_screening.v1,/data[at0001]/events[at0002]/data[at0003],ITEM_TREE,CComplexObject,at0003,Tree,Tree,Tree,Tree,Tree,Tree,Tree,Tree
openEHR-EHR-OBSERVATION.symptom_sign_screening.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0022],CLUSTER,CComplexObject,at0022,Spezifisches Symptom/Anzeichen,Oire / tuntemus ryhmitys,Specifika symptom/tecken,Spesifikt symptom/sykdomstegn,Specific symptom/sign,Sintomo/segno specifico,Symptôme/signe spécifique,具体症状/体征
openEHR-EHR-OBSERVATION.symptom_sign_screening.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0022]/items[at0004],ELEMENT,CComplexObject,at0004,Name des Symptoms/Anzeichens,*Symptom/sign name (en),Symptom/tecken-benämning,Navn på symptom/sykdomstegn,Symptom/sign name,*Symptom/sign name (en),Symptôme/nom du signe,症状/体征名称
openEHR-EHR-OBSERVATION.symptom_sign_screening.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0022]/items[at0004]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.symptom_sign_screening.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0022]/items[at0005],ELEMENT,CComplexObject,at0005,Vorhanden?,Olemassalolo,Närvarande?,Tilstede?,Presence?,Presenza?,Présence ?,是否存在？
openEHR-EHR-OBSERVATION.symptom_sign_screening.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0022]/items[at0005]/value,DV_BOOLEAN,CComplexObject
openEHR-EHR-OBSERVATION.symptom_sign_screening.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0022]/items[at0005]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.symptom_sign_screening.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0022]/items[at0026],CLUSTER,ArchetypeSlot,at0026,Zusätzliche Angaben,*Additional details (en),Ytterligare detaljer,Ytterligere detaljer,Additional details,*Additional details (en),Détails supplémentaires,其他详情
openEHR-EHR-OBSERVATION.symptom_sign_screening.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0022]/items[at0035],ELEMENT,CComplexObject,at0035,Kommentar,*Comment(en),Kommentar,Kommentar,Comment,Commento,Commentaire,备注
openEHR-EHR-OBSERVATION.symptom_sign_screening.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0022]/items[at0035]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.symptom_sign_screening.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0022]/items[at0037],ELEMENT,CComplexObject,at0037,Zeitpunkt,*Timing (en),*Timing (en),Tidsangivelse,Timing,*Timing (en),Timing,时间特征
openEHR-EHR-OBSERVATION.symptom_sign_screening.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0022]/items[at0037]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.symptom_sign_screening.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0028],ELEMENT,CComplexObject,at0028,Irgendwelche Symptome oder Anzeichen?,*Any symptoms or signs? (en),Förekommer några symptom eller andra tecken?,Symptomer eller sykdomstegn?,Any symptoms or signs?,*Any symptoms or signs? (en),Des symptômes ou des signes ?,是否存在任何的症状或体征？
openEHR-EHR-OBSERVATION.symptom_sign_screening.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0028]/value,DV_BOOLEAN,CComplexObject
openEHR-EHR-OBSERVATION.symptom_sign_screening.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0028]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.symptom_sign_screening.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0029],ELEMENT,CComplexObject,at0029,Auftreten,Toteamisen ajankohta,Debut,Debut,Onset,Inizio di qualsiasi sintomo o segno,Début,起始时间
openEHR-EHR-OBSERVATION.symptom_sign_screening.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0029]/value,DV_INTERVAL<DV_DURATION>,CComplexObject
openEHR-EHR-OBSERVATION.symptom_sign_screening.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0034],ELEMENT,CComplexObject,at0034,Zweck des Screenings,*Screening purpose(en),Screeningssyfte,Kartleggingsformål,Screening purpose,Scopo dello screening,Objectif du dépistage,筛查目的
openEHR-EHR-OBSERVATION.symptom_sign_screening.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0034]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.symptom_sign_screening.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0036],ELEMENT,CComplexObject,at0036,Beschreibung,*Description(en),Beskrivning,Beskrivelse,Description,Descrizione,Description,描述
openEHR-EHR-OBSERVATION.symptom_sign_screening.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0036]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.symptom_sign_screening.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0039],CLUSTER,ArchetypeSlot,at0039,Zusätzliche Angaben,*Additional details (en),Screening-detaljer eller frågor,Ytterligere detaljer,Additional details,*Additional details (en),Détails supplémentaires,其他详情
openEHR-EHR-OBSERVATION.symptom_sign_screening.v1,/protocol[at0007],ITEM_TREE,CComplexObject,at0007,Item tree,Item tree,Item tree,Item tree,Item tree,Item tree,Item tree,Item tree
openEHR-EHR-OBSERVATION.symptom_sign_screening.v1,/protocol[at0007]/items[at0021],CLUSTER,ArchetypeSlot,at0021,Erweiterung,*Extension(en),Tilläggsinformation,Tilleggsinformasjon,Extension,Estensione,Extension,扩展
