archetype_id,path,rm_type,aom_type,node_id,name_nb,name_en
openEHR-EHR-OBSERVATION.testicular_volume.v1,/,OBSERVATION,CComplexObject,at0000,Testikkelvolum,Testicular volume
openEHR-EHR-OBSERVATION.testicular_volume.v1,/data[at0001],HISTORY,CComplexObject,at0001,Event Series,Event Series
openEHR-EHR-OBSERVATION.testicular_volume.v1,/data[at0001]/events[at0002],EVENT,CComplexObject,at0002,Uspesifisert hendelse,Any event
openEHR-EHR-OBSERVATION.testicular_volume.v1,/data[at0001]/events[at0002]/data[at0003],ITEM_TREE,CComplexObject,at0003,Tree,Tree
openEHR-EHR-OBSERVATION.testicular_volume.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0005],ELEMENT,CComplexObject,at0005,Kommentar,Comment
openEHR-EHR-OBSERVATION.testicular_volume.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0005]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.testicular_volume.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0010],ELEMENT,CComplexObject,at0010,Testikkelvolum,Testicular volume
openEHR-EHR-OBSERVATION.testicular_volume.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0010]/value,DV_QUANTITY,CDvQuantity
openEHR-EHR-OBSERVATION.testicular_volume.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0020],ELEMENT,CComplexObject,at0020,Undersøkt testikkel,Testicle examined
openEHR-EHR-OBSERVATION.testicular_volume.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0020]/value,DV_CODED_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.testicular_volume.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0020]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.testicular_volume.v1,/data[at0001]/events[at0002]/state[at0011],ITEM_TREE,CComplexObject,at0011,Tree,Tree
openEHR-EHR-OBSERVATION.testicular_volume.v1,/data[at0001]/events[at0002]/state[at0011]/items[at0012],ELEMENT,CComplexObject,at0012,Konfunderende faktorer,Confounding factors
openEHR-EHR-OBSERVATION.testicular_volume.v1,/data[at0001]/events[at0002]/state[at0011]/items[at0012]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.testicular_volume.v1,/protocol[at0006],ITEM_TREE,CComplexObject,at0006,Tree,Tree
openEHR-EHR-OBSERVATION.testicular_volume.v1,/protocol[at0006]/items[at0007],CLUSTER,ArchetypeSlot,at0007,Måleutstyr,Device
openEHR-EHR-OBSERVATION.testicular_volume.v1,/protocol[at0006]/items[at0008],ELEMENT,CComplexObject,at0008,Formel,Formula
openEHR-EHR-OBSERVATION.testicular_volume.v1,/protocol[at0006]/items[at0008]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.testicular_volume.v1,/protocol[at0006]/items[at0013],ELEMENT,CComplexObject,at0013,Metode,Method
openEHR-EHR-OBSERVATION.testicular_volume.v1,/protocol[at0006]/items[at0013]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.testicular_volume.v1,/protocol[at0006]/items[at0019],CLUSTER,ArchetypeSlot,at0019,Tilleggsinformasjon,Extension
