archetype_id,path,rm_type,aom_type,node_id,name_de,name_nb,name_en
openEHR-EHR-OBSERVATION.travel_screening.v1,/,OBSERVATION,CComplexObject,at0000,Fragebogen zum Reise-Screening,Kartleggingsspørsmål om reiseaktivitet,Travel screening questionnaire
openEHR-EHR-OBSERVATION.travel_screening.v1,/data[at0022],HISTORY,CComplexObject,at0022,Event Series,Event Series,Event Series
openEHR-EHR-OBSERVATION.travel_screening.v1,/data[at0022]/events[at0023],EVENT,CComplexObject,at0023,Beliebiges Ereignis,Uspesifisert hendelse,Any event
openEHR-EHR-OBSERVATION.travel_screening.v1,/data[at0022]/events[at0023]/data[at0001],ITEM_TREE,CComplexObject,at0001,Tree,Tree,Tree
openEHR-EHR-OBSERVATION.travel_screening.v1,/data[at0022]/events[at0023]/data[at0001]/items[at0026],CLUSTER,CComplexObject,at0026,Spezifische Reise,Spesifikk reise,Specific travel
openEHR-EHR-OBSERVATION.travel_screening.v1,/data[at0022]/events[at0023]/data[at0001]/items[at0026]/items[at0003],ELEMENT,CComplexObject,at0003,Zeitpunkt,Tidsangivelse,Timing
openEHR-EHR-OBSERVATION.travel_screening.v1,/data[at0022]/events[at0023]/data[at0001]/items[at0026]/items[at0003]/value,DV_DURATION,CComplexObject
openEHR-EHR-OBSERVATION.travel_screening.v1,/data[at0022]/events[at0023]/data[at0001]/items[at0026]/items[at0021],ELEMENT,CComplexObject,at0021,Reiseaktivität,Reiseaktivitet,Travel activity
openEHR-EHR-OBSERVATION.travel_screening.v1,/data[at0022]/events[at0023]/data[at0001]/items[at0026]/items[at0021]/value,DV_CODED_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.travel_screening.v1,/data[at0022]/events[at0023]/data[at0001]/items[at0026]/items[at0021]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.travel_screening.v1,/data[at0022]/events[at0023]/data[at0001]/items[at0026]/items[at0024],ELEMENT,CComplexObject,at0024,Auftreten?,Gjennomført?,Occurred?
openEHR-EHR-OBSERVATION.travel_screening.v1,/data[at0022]/events[at0023]/data[at0001]/items[at0026]/items[at0024]/value,DV_BOOLEAN,CComplexObject
openEHR-EHR-OBSERVATION.travel_screening.v1,/data[at0022]/events[at0023]/data[at0001]/items[at0026]/items[at0024]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.travel_screening.v1,/data[at0022]/events[at0023]/data[at0001]/items[at0026]/items[at0025],ELEMENT,CComplexObject,at0025,Kommentar,Kommentar,Comment
openEHR-EHR-OBSERVATION.travel_screening.v1,/data[at0022]/events[at0023]/data[at0001]/items[at0026]/items[at0025]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.travel_screening.v1,/data[at0022]/events[at0023]/data[at0001]/items[at0026]/items[at0041],CLUSTER,ArchetypeSlot,at0041,Zusätzliche Angaben,Ytterligere detaljer,Additional details
openEHR-EHR-OBSERVATION.travel_screening.v1,/data[at0022]/events[at0023]/data[at0001]/items[at0027],ELEMENT,CComplexObject,at0027,Irgendeine Reise?,Noen reise?,Any travel?
openEHR-EHR-OBSERVATION.travel_screening.v1,/data[at0022]/events[at0023]/data[at0001]/items[at0027]/value,DV_BOOLEAN,CComplexObject
openEHR-EHR-OBSERVATION.travel_screening.v1,/data[at0022]/events[at0023]/data[at0001]/items[at0027]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.travel_screening.v1,/data[at0022]/events[at0023]/data[at0001]/items[at0040],ELEMENT,CComplexObject,at0040,Zweck des Screenings,Kartleggingsformål,Screening purpose
openEHR-EHR-OBSERVATION.travel_screening.v1,/data[at0022]/events[at0023]/data[at0001]/items[at0040]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.travel_screening.v1,/data[at0022]/events[at0023]/data[at0001]/items[at0043],ELEMENT,CComplexObject,at0043,Beschreibung,Beskrivelse,Description
openEHR-EHR-OBSERVATION.travel_screening.v1,/data[at0022]/events[at0023]/data[at0001]/items[at0043]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.travel_screening.v1,/data[at0022]/events[at0023]/data[at0001]/items[at0044],CLUSTER,ArchetypeSlot,at0044,Zusätzliche Angaben,Ytterligere detaljer,Additional details
openEHR-EHR-OBSERVATION.travel_screening.v1,/protocol[at0005],ITEM_TREE,CComplexObject,at0005,Tree,Tree,Tree
openEHR-EHR-OBSERVATION.travel_screening.v1,/protocol[at0005]/items[at0019],CLUSTER,ArchetypeSlot,at0019,Erweiterung,Tilleggsinformasjon,Extension
